winner 	  t0_baron_kills 	 t0_first_baron 	 t0_dragon_kills 	 t0_first_dragon 	 t0_first_blood 	 t0_first_inhib 	 t0_first_herald 	 t0_first_tower 	 t0_inhib_kills 	 t0_herald_kills 	  t0_cs_min_0_10 	 t0_cs_min_10_20 	 t0_xp_min_0_10 	 t0_xp_min_10_20 	 t0_gold_min_0_10 	 t0_gold_min_10_20 	 t0_cs_diff_min_0_10 	 t0_cs_diff_min_10_20 	 t0_xp_diff_min_0_10 	 t0_xp_diff_min_10_20 	 t0_dmg_taken_min_0_10 	 t0_dmg_taken_min_10_20 	 t0_dmg_taken_diff_0_10 	 t0_dmg_taken_diff_10_20 	  t1_baron_kills 	 t1_first_baron 	 t1_dragon_kills 	 t1_first_dragon 	 t1_first_blood 	 t1_first_inhib 	 t1_first_herald 	 t1_first_tower 	 t1_inhib_kills 	 t1_herald_kills 	  t1_cs_min_0_10 	 t1_cs_min_10_20 	 t1_xp_min_0_10 	 t1_xp_min_10_20 	 t1_gold_min_0_10 	 t1_gold_min_10_20 	 t1_cs_diff_min_0_10 	 t1_cs_diff_min_10_20 	 t1_xp_diff_min_0_10 	 t1_xp_diff_min_10_20 	 t1_dmg_taken_min_0_10 	 t1_dmg_taken_min_10_20 	 t1_dmg_taken_diff_0_10 	 t1_dmg_taken_diff_10_20 	
1	  0	 1	 2	 1	 0	 1	 1	 1	 1	 0	  17.9	 22.1	 1676.9	 2114.1	 1167.6	 1815.0000000000002	 1.1000000000000012	 3.7999999999999994	 -79.49999999999994	 199.69999999999993	 2237.2	 2804.5000000000005	 214.09999999999997	 146.10000000000008	  2	 0	 3	 0	 1	 0	 1	 0	 3	 0	  16.8	 18.3	 1756.3999999999999	 1914.4	 1276.4999999999998	 1810.1000000000001	 -1.1000000000000012	 -3.8	 79.49999999999994	 -199.69999999999996	 2023.1	 2658.4	 -214.09999999999997	 -146.10000000000014
0	  1	 1	 4	 0	 1	 1	 0	 0	 0	 1	  18.3	 20.799999999999997	 1803.4	 2014.1999999999998	 1388.3999999999999	 1778.0	 1.4999999999999998	 -2.220446049250313e-16	 182.89999999999998	 -179.60000000000002	 1870.1000000000001	 3094.6	 92.29999999999995	 224.2	  1	 0	 2	 1	 0	 0	 1	 1	 4	 0	  16.8	 20.8	 1620.5	 2193.8	 1091.3	 1993.7	 -1.4999999999999998	 2.220446049250313e-16	 -182.89999999999998	 179.60000000000002	 1777.8	 2870.4	 -92.29999999999995	 -224.2
0	  0	 1	 2	 0	 1	 1	 0	 1	 1	 1	  19.6	 25.200000000000003	 1819.0	 2332.2	 1136.3	 1907.3000000000002	 -2.3000000000000003	 1.9000000000000004	 -32.30000000000007	 311.0	 1335.9	 2612.8999999999996	 -445.4	 -294.29999999999984	  2	 0	 4	 1	 0	 0	 1	 0	 2	 0	  21.9	 23.299999999999997	 1851.3	 2021.2	 1241.8	 1754.6999999999998	 2.3000000000000007	 -1.9000000000000004	 32.30000000000007	 -310.99999999999994	 1781.3	 2907.2000000000003	 445.3999999999999	 294.29999999999984
0	  1	 0	 1	 1	 1	 1	 1	 1	 0	 0	  19.6	 19.5	 1814.9999999999998	 2076.3999999999996	 1171.3000000000002	 1774.3	 -0.9999999999999996	 -3.3000000000000003	 -58.500000000000085	 -86.10000000000002	 1626.6	 3277.2999999999997	 -124.10000000000004	 303.20000000000005	  1	 1	 4	 0	 0	 0	 0	 0	 1	 1	  20.6	 22.8	 1873.5	 2162.5	 1233.4	 1966.5	 0.9999999999999996	 3.3000000000000003	 58.500000000000085	 86.10000000000002	 1750.6999999999998	 2974.0999999999995	 124.10000000000004	 -303.20000000000005
1	  1	 1	 3	 1	 0	 0	 0	 0	 6	 1	  19.1	 25.900000000000002	 1844.6999999999998	 2491.0	 1278.6000000000001	 1929.0	 -2.2	 0.7999999999999985	 53.799999999999955	 40.60000000000002	 2029.2000000000003	 2851.7000000000003	 245.89999999999992	 -395.19999999999993	  2	 0	 1	 0	 1	 1	 1	 1	 0	 0	  21.299999999999997	 25.1	 1790.9	 2450.4	 1245.9	 1757.4	 2.2	 -0.7999999999999985	 -53.799999999999955	 -40.60000000000002	 1783.2999999999997	 3246.9	 -245.89999999999995	 395.19999999999993
0	  0	 1	 1	 1	 1	 1	 0	 0	 0	 1	  22.0	 25.200000000000003	 1801.3	 1968.9	 1409.1999999999998	 1647.8000000000002	 1.5999999999999996	 -1.3322676295501878e-15	 -6.300000000000068	 7.60000000000008	 1557.2	 2222.5	 -683.7	 -1085.8	  3	 0	 4	 0	 0	 0	 1	 1	 3	 0	  20.4	 25.200000000000003	 1807.6	 1961.3	 1271.8000000000002	 1498.8	 -1.5999999999999996	 1.4432899320127035e-15	 6.300000000000068	 -7.60000000000008	 2240.8999999999996	 3308.3	 683.7	 1085.8
1	  2	 0	 5	 1	 0	 0	 1	 0	 10	 0	  21.799999999999997	 25.9	 1870.1000000000001	 2335.6	 1430.6	 1998.9	 3.4000000000000004	 4.899999999999999	 196.10000000000002	 213.4999999999998	 1576.0	 2939.3999999999996	 -202.30000000000007	 -561.8999999999999	  1	 1	 1	 0	 1	 1	 1	 1	 0	 0	  18.4	 21.000000000000004	 1674.0	 2122.1000000000004	 1078.1999999999998	 1688.3000000000002	 -3.4	 -4.899999999999999	 -196.10000000000002	 -213.4999999999998	 1778.3000000000002	 3501.3	 202.3000000000001	 561.8999999999999
1	  0	 1	 4	 0	 1	 0	 1	 1	 4	 0	  11.6	 14.1	 1546.8999999999999	 2117.7999999999997	 1036.7	 1714.6	 -3.1000000000000005	 -3.1999999999999997	 -186.39999999999992	 224.20000000000002	 1966.2	 3546.6000000000004	 218.4000000000001	 194.19999999999996	  2	 0	 0	 1	 0	 1	 1	 0	 0	 0	  14.700000000000001	 17.299999999999997	 1733.3	 1893.6	 1108.3999999999999	 1708.5000000000002	 3.1000000000000005	 3.2	 186.39999999999992	 -224.20000000000002	 1747.8000000000002	 3352.4000000000005	 -218.4000000000001	 -194.2
0	  0	 1	 2	 0	 0	 0	 1	 0	 2	 0	  16.6	 19.599999999999998	 1721.7	 1773.8999999999999	 1198.6	 1839.8000000000002	 0.7000000000000002	 4.0	 262.49999999999994	 -302.9999999999999	 1816.0000000000002	 3538.7000000000003	 -79.60000000000002	 911.1000000000001	  1	 0	 3	 1	 1	 1	 1	 1	 2	 0	  15.9	 15.6	 1459.1999999999998	 2076.8999999999996	 1108.1	 1687.7	 -0.7000000000000001	 -4.0	 -262.4999999999999	 302.99999999999994	 1895.6	 2627.6	 79.60000000000002	 -911.1000000000001
1	  2	 0	 2	 1	 1	 0	 1	 1	 3	 0	  15.5	 14.0	 1547.1	 1759.3999999999999	 934.4	 1539.4	 2.2	 0.5999999999999999	 -37.90000000000008	 -274.29999999999995	 1277.8	 2793.1000000000004	 -257.40000000000003	 -334.99999999999983	  0	 1	 3	 0	 0	 1	 0	 0	 2	 1	  13.299999999999999	 13.4	 1585.0	 2033.7000000000003	 917.5999999999999	 1747.1999999999998	 -2.2	 -0.5999999999999999	 37.90000000000008	 274.29999999999995	 1535.2	 3128.1	 257.40000000000003	 334.9999999999998
