winner 	  t0_cs_min_0_10 	 t0_cs_min_10_20 	 t0_xp_min_0_10 	 t0_xp_min_10_20 	 t0_gold_min_0_10 	 t0_gold_min_10_20 	 t0_cs_diff_min_0_10 	 t0_cs_diff_min_10_20 	 t0_xp_diff_min_0_10 	 t0_xp_diff_min_10_20 	 t0_dmg_taken_min_0_10 	 t0_dmg_taken_min_10_20 	 t0_dmg_taken_diff_0_10 	 t0_dmg_taken_diff_10_20 	  t0_c0_wr 	 t0_c1_wr 	 t0_c2_wr 	 t0_c3_wr 	 t0_c4_wr 	  t1_cs_min_0_10 	 t1_cs_min_10_20 	 t1_xp_min_0_10 	 t1_xp_min_10_20 	 t1_gold_min_0_10 	 t1_gold_min_10_20 	 t1_cs_diff_min_0_10 	 t1_cs_diff_min_10_20 	 t1_xp_diff_min_0_10 	 t1_xp_diff_min_10_20 	 t1_dmg_taken_min_0_10 	 t1_dmg_taken_min_10_20 	 t1_dmg_taken_diff_0_10 	 t1_dmg_taken_diff_10_20 	  t1_c0_wr 	 t1_c1_wr 	 t1_c2_wr 	 t1_c3_wr 	 t1_c4_wr
0	  14.2	 17.099999999999998	 1511.8999999999999	 2060.5	 1120.9	 1845.4999999999998	 -4.199999999999999	 -3.1999999999999993	 -192.19999999999996	 -249.70000000000002	 1885.9	 3858.8999999999996	 -70.20000000000006	 -312.6	  0.5041272612638829 	 0.4866666666666667 	 0.5108397124992695 	 0.49489295944519823 	 0.5030250161803191 	  18.4	 20.3	 1704.1	 2310.2	 1199.5	 2270.2999999999997	 4.2	 3.199999999999999	 192.19999999999996	 249.70000000000002	 1956.1	 4171.5	 70.20000000000006	 312.6  0.4966600122850123 	 0.5117268165009845 	 0.523247090506877 	 0.5092912519553745 	 0.5169163294444313 	
1	  16.0	 16.1	 1707.1	 2010.0	 1274.5	 1830.4999999999998	 0.7999999999999998	 1.099999999999999	 167.4	 -146.89999999999995	 1606.3999999999999	 3576.0000000000005	 -254.79999999999998	 -166.10000000000008	  0.4901443909663088 	 0.4853440822241436 	 0.5368302834115082 	 0.5019054432893354 	 0.5267802630848643 	  16.8	 18.0	 1535.9	 2186.3	 1167.3	 1873.7000000000003	 -0.7999999999999998	 -1.099999999999999	 -167.4	 146.89999999999995	 1704.5000000000002	 3375.8	 254.79999999999998	 166.10000000000008  0.5272148200763 	 0.5011879292206948 	 0.511942157712305 	 0.48110957004160887 	 0.5092912519553745 	
1	  20.099999999999998	 27.9	 1719.6	 2214.7999999999997	 1127.4	 1933.9999999999998	 3.099999999999999	 6.199999999999999	 -69.30000000000004	 199.29999999999993	 2158.2	 3323.3999999999996	 24.200000000000045	 549.1999999999998	  0.5117268165009845 	 0.5041272612638829 	 0.536162874105276 	 0.5443243682457138 	 0.46695837081867997 	  17.0	 21.7	 1788.9	 2015.5	 1299.8	 1518.1	 -3.099999999999999	 -6.2	 69.30000000000004	 -199.29999999999993	 2134.0	 2774.2000000000003	 -24.200000000000045	 -549.1999999999998  0.4760352760736196 	 0.4837743384922616 	 0.45559968890617186 	 0.5034008371291395 	 0.4853440822241436 	
0	  20.5	 27.299999999999997	 1711.3999999999999	 2323.0	 1176.6	 1989.7	 0.9999999999999996	 5.799999999999999	 -102.69999999999999	 147.89999999999995	 1982.6999999999998	 3360.0000000000005	 358.30000000000007	 -310.70000000000016	  0.5038567065279288 	 0.4892666762714306 	 0.4851501158883878 	 0.5223905169575239 	 0.4845448992058644 	  19.500000000000004	 21.5	 1814.1	 2175.1	 1257.1	 1708.4	 -0.9999999999999993	 -5.8	 102.69999999999997	 -147.89999999999995	 1624.4	 3670.7000000000003	 -358.30000000000007	 310.7000000000001  0.46695837081867997 	 0.5180571444712795 	 0.47412895719796705 	 0.4853440822241436 	 0.51785023049583 	
1	  17.9	 21.2	 1808.6000000000001	 1917.3999999999999	 1317.7999999999997	 1876.5	 5.9	 6.1	 255.5	 -331.1000000000001	 2313.1	 3186.9	 441.8	 699.3000000000001	  0.5156743666874776 	 0.4877646087623091 	 0.49782923299565845 	 0.5307132571025301 	 0.5314717679728479 	  12.0	 15.100000000000001	 1553.1	 2248.5	 1077.3999999999999	 1672.2	 -5.9	 -6.1	 -255.5	 331.1	 1871.3	 2487.6	 -441.8	 -699.3000000000002  0.48520973761907416 	 0.5180571444712795 	 0.4837743384922616 	 0.5213803130077824 	 0.5019054432893354 	
0	  16.200000000000003	 16.699999999999996	 1697.3	 2370.2000000000003	 1194.2	 2366.9	 3.5000000000000004	 2.299999999999999	 255.30000000000007	 249.40000000000003	 2032.3999999999999	 3681.0	 104.1	 45.900000000000034	  0.5022769890168765 	 0.4851501158883878 	 0.5180571444712795 	 0.4901443909663088 	 0.5071704113784269 	  16.1	 16.0	 1600.8000000000002	 1934.1	 1145.2	 1688.6	 -3.500000000000001	 -2.299999999999999	 -255.30000000000007	 -249.40000000000003	 1839.8999999999999	 3930.9	 -104.1	 -45.90000000000006  0.4853440822241436 	 0.5091642563556097 	 0.4837743384922616 	 0.5061780388204947 	 0.5011514821442464 	
0	  17.2	 18.6	 1701.7999999999997	 2315.9	 1110.7	 1809.8000000000002	 -5.800000000000001	 -1.6999999999999993	 -118.8000000000001	 202.89999999999998	 1823.3999999999999	 3297.3	 384.39999999999986	 -68.79999999999998	  0.5011514821442464 	 0.4837743384922616 	 0.4904249596557289 	 0.5309594460929773 	 0.5011879292206948 	  22.999999999999996	 20.3	 1820.6000000000004	 2113.0	 1244.5	 1957.6000000000001	 5.800000000000001	 1.699999999999999	 118.8000000000001	 -202.89999999999998	 1439.0	 3366.1	 -384.39999999999986	 68.79999999999998  0.4853440822241436 	 0.4933234083278898 	 0.5019054432893354 	 0.5142919964819701 	 0.48520973761907416 	
1	  19.799999999999997	 20.6	 1799.6	 2391.9	 1310.6	 2294.6	 1.7999999999999996	 0.30000000000000115	 214.70000000000005	 295.5000000000001	 2280.4	 4078.2	 399.2	 698.9000000000003	  0.5051748899148992 	 0.5314717679728479 	 0.4853440822241436 	 0.4933234083278898 	 0.50702924576706 	  18.0	 20.3	 1584.9	 2096.4	 1115.0	 1751.9	 -1.7999999999999996	 -0.30000000000000115	 -214.70000000000005	 -295.5000000000001	 1881.1999999999998	 3379.3	 -399.2	 -698.9000000000001  0.47626515471379455 	 0.5349685920519321 	 0.5117268165009845 	 0.4932423651721897 	 0.5011879292206948 	
0	  18.799999999999997	 20.1	 1756.1999999999998	 2196.2	 1419.2	 2066.2	 1.3999999999999995	 -2.4999999999999987	 -52.10000000000002	 184.09999999999997	 2200.9	 3009.5	 -131.39999999999992	 -418.4999999999999	  0.5216623414071511 	 0.5030250161803191 	 0.49782923299565845 	 0.5058192490638599 	 0.5038567065279288 	  17.4	 22.6	 1808.2999999999997	 2012.1	 1407.4	 1914.9	 -1.3999999999999995	 2.4999999999999987	 52.10000000000002	 -184.09999999999997	 2332.3	 3428.0	 131.39999999999992	 418.4999999999999  0.51785023049583 	 0.5117268165009845 	 0.5091642563556097 	 0.5208914699449431 	 0.5033755969043306 	
0	  21.0	 16.099999999999998	 1750.2	 1863.8000000000002	 1374.1	 1998.5	 -0.9000000000000007	 -1.3000000000000005	 60.80000000000001	 -119.39999999999989	 2374.6	 4682.2	 412.9	 742.1000000000001	  0.4933234083278898 	 0.4946713827991318 	 0.46435320391685275 	 0.479976020594078 	 0.5314717679728479 	  21.900000000000002	 17.4	 1689.4	 1983.2	 1257.3	 1964.1	 0.9000000000000008	 1.3000000000000007	 -60.80000000000001	 119.39999999999989	 1961.7000000000003	 3940.1	 -412.9	 -742.1000000000001  0.48550792608573307 	 0.5120610951258032 	 0.4762290990766159 	 0.4932591889325919 	 0.4678450125134072 	
